col,row
16,6
16,7
15,8
15,9
15,10
14,10
14,9
13,10
13,11
13,12
14,12
14,13
15,13
15,14
15,15
14,15
13,15
13,16
12,16
12,17
13,17
13,18
12,18
12,19
12,20
12,21
11,21
11,22
10,22
10,23
9,23
8,23
-1,-1
11,19
11,18
11,17
10,17
10,16
11,16
11,15
12,15
12,14
12,13
13,13
13,14
14,14
-1,-1
16,14
17,14
18,14
18,15
17,15
17,16
17,17
18,17
18,18
17,18
16,18
16,17
16,16
16,15
15,16
15,17
14,17
14,18
14,19
15,19
16,19
17,19
17,20
16,20
15,20
15,21
14,21
13,21
13,20
14,20
13,19
-1,-1
15,18
-1,-1
14,16
-1,-1
18,16
19,16
20,16
20,17
19,17
19,18
20,18
21,18
21,19
20,19
20,20
19,20
19,19
18,19
18,20
18,21
17,21
16,21
-1,-1
22,18
-1,-1
15,12
15,11
14,11
-2,-2
