col,row
8,17
9,17
9,18
10,18
10,19
9,19
9,20
10,20
10,21
11,21
11,20
12,20
12,21
13,20
14,20
14,19
15,19
15,20
16,19
17,19
18,18
19,18
20,17
20,16
21,16
21,15
21,14
20,14
20,13
20,12
19,12
18,12
18,11
19,11
19,10
19,9
20,9
20,10
20,11
21,11
21,12
21,13
-1,-1
20,15
-1,-1
17,12
16,12
15,12
15,11
16,11
17,11
17,10
18,10
18,9
19,8
-1,-1
16,10
-1,-1
14,12
13,12
13,13
13,14
12,14
12,13
11,14
11,15
12,15
13,15
13,16
13,17
13,18
13,19
12,19
11,19
11,18
12,18
12,17
12,16
11,16
11,17
10,17
10,16
9,16
10,15
-1,-1
8,18
8,19
7,19
8,20
-2,-2
